hotel_id,destination_id,surroundings
167512,143336,1
167515,143762,1
167516,139893,1
167517,144437,1
167518,13929,1
167519,6659,1
167520,100447,1
167521,100849,1
167522,104699,1
167524,118447,1
167525,80730,1
167526,36753,1
167527,2343,1
167529,98589,1
167530,98584,1
167531,97290,1
167532,114319,1
167533,93908,1
167533,159133,1
167534,101660,1
167535,1323,1
167535,96880,1
167536,4091,1
167536,31212,1
167536,102217,1
167536,146722,1
167537,106711,1
167538,2363,1
167538,105273,1
167539,98385,0
167540,99401,1
167541,75257,1
167542,133853,1
167543,99621,1
167544,99437,1
167545,97230,1
167546,97167,1
167547,5731,1
167547,416144,0
167548,143986,1
167549,98848,1
167550,99039,1
167551,38794,1
167553,116688,1
167553,135012,1
167554,100515,1
167555,43059,1
167556,115496,1
167557,158535,1
167558,38291,1
167559,21085,1
167560,38013,1
167561,37533,1
167562,5208,1
167563,3090,1
167564,20524,1
167565,6995,1
167566,140938,1
167567,56698,1
167568,100322,1
167569,100933,1
167570,55084,1
167571,5086,1
167571,101032,1
167572,31696,1
167573,36616,1
167574,6725,1
167575,100991,1
167576,5386,0
167576,121511,1
167577,101972,1
167578,109402,1
167579,85955,1
167581,99743,1
167582,51424,1
167583,89344,1
167584,100873,1
167585,23711,1
167586,45197,1
167586,261448,1
167587,100970,1
167588,279,1
167589,20445,1
167590,99698,1
167591,99394,1
167592,20660,1
167593,99343,1
167593,99344,1
167594,99737,1
167595,98696,1
167596,19488,1
167597,99394,1
167598,19574,1
167599,19450,1
167600,99279,1
167601,101115,1
167602,99012,1
167603,11911,1
167604,99613,1
167605,5152,1
167605,43763,1
167605,99615,1
167605,310608,1
167606,109413,1
167607,5163,1
167608,105844,1
167609,723,1
167610,1,1
167610,109400,1
167611,98732,1
167612,101027,1
167613,100796,1
167613,130911,1
167614,127297,1
167615,100411,1
167616,84391,1
167617,100553,1
167618,145319,1
167620,95851,1
167621,95722,1
167623,95667,1
167624,95779,1
167625,19625,1
167626,1788,1
167627,75607,1
167628,116750,1
167631,1721,1
167632,6954,1
167633,11855,1
167634,6268,1
167636,95717,1
167637,21308,1
167639,95864,1
167640,101113,1
167641,14128,1
167642,106064,1
167643,95689,1
167643,95692,1
167645,109450,1
167646,19370,1
167647,146627,1
167649,103292,1
167650,2518,1
167651,101970,1
167652,100706,1
167653,5037,1
167653,100931,1
167654,100585,1
167655,100708,1
167656,101848,1
167656,235134,1
167657,101849,1
167658,100505,1
167658,243236,1
167659,101691,1
167660,101711,1
167661,100704,1
167662,19574,1
167663,101852,1
167664,102034,1
167665,100778,1
167666,100778,1
167667,7679,1
167667,100876,1
167668,101309,1
167669,100803,1
167669,233045,1
167670,100782,1
167672,101120,1
167673,101850,1
167674,108204,1
167675,122595,1
167676,1993,1
167677,113801,1
167679,113831,1
167680,113703,1
167681,113778,1
167682,32273,1
167683,32273,1
167684,100862,1
167685,21325,1
167686,109368,1
167688,144521,1
167689,37464,1
167690,17619,1
167691,101668,1
167692,799,1
167693,101022,1
167694,139944,1
167695,142111,1
167696,100506,1
167697,14824,1
167698,143873,1
167699,1936,1
167700,113830,1
167701,100793,1
167702,101287,1
167703,101882,1
167703,101902,1
